repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,8,4
data-viz-challenge,github.com,2,2
data-viz-challenge,Google,1,1
data-viz-evaluations,github.com,4,2
figstats,github.com,2,1
github-stats,github.com,5,1
LD-Cool-P,github.com,10,1
LD-Cool-P,Google,3,3
LD-Cool-P,redata.readthedocs.io,3,2
ldcoolp-figshare,redata.readthedocs.io,4,2
ldcoolp-figshare,github.com,4,1
ReBACH,github.com,3,1
redata-commons,github.com,4,2
redata-commons,redata.readthedocs.io,3,2
redata-commons,Google,1,1
redata-docs,redata.readthedocs.io,4,2
redata-docs,github.com,3,1
