repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2021-09-07,9,1
data-service-landscape-scan,2021-09-08,14,2
data-viz-challenge,2021-09-10,7,1
figstats,2021-09-09,2,2
figstats,2021-09-14,1,1
github-stats,2021-09-08,2,1
LD-Cool-P,2021-09-05,48,1
LD-Cool-P,2021-09-06,1,1
LD-Cool-P,2021-09-07,32,3
LD-Cool-P,2021-09-08,2,1
LD-Cool-P,2021-09-09,54,4
LD-Cool-P,2021-09-10,13,3
LD-Cool-P,2021-09-11,1,1
LD-Cool-P,2021-09-12,8,1
LD-Cool-P,2021-09-13,4,1
LD-Cool-P,2021-09-14,23,3
LD-Cool-P,2021-09-15,3,2
ldcoolp-figshare,2021-09-05,15,1
ldcoolp-figshare,2021-09-08,4,3
ldcoolp-figshare,2021-09-10,12,1
ldcoolp-figshare,2021-09-12,4,1
ldcoolp-figshare,2021-09-14,20,2
ReM,2021-09-05,1,1
ReM,2021-09-06,1,1
ReM,2021-09-08,1,1
ReM,2021-09-10,2,1
ReM,2021-09-14,6,2
ReM,2021-09-15,15,4
ReQUIAM,2021-09-05,4,1
ReQUIAM,2021-09-06,4,2
ReQUIAM,2021-09-07,78,7
ReQUIAM,2021-09-08,33,7
ReQUIAM,2021-09-10,3,1
ReQUIAM,2021-09-13,8,1
ReQUIAM,2021-09-14,2,1
ReQUIAM,2021-09-16,16,3
uptime,2021-09-08,1,1
uptime,2021-09-12,8,1
uptime,2021-09-14,1,1
