repository_name,date,clones,unique_visitors/cloners
data-viz-challenge,2022-11-11,2,1
data-viz-evaluations,2022-11-01,1,1
github-stats,2022-10-29,1,1
github-stats,2022-10-30,7,5
github-stats,2022-10-31,6,4
github-stats,2022-11-01,5,3
github-stats,2022-11-02,8,5
github-stats,2022-11-03,10,7
github-stats,2022-11-04,6,4
github-stats,2022-11-05,6,4
github-stats,2022-11-06,7,5
github-stats,2022-11-07,7,5
github-stats,2022-11-08,7,5
github-stats,2022-11-09,6,4
github-stats,2022-11-10,6,4
github-stats,2022-11-11,7,5
LD-Cool-P,2022-11-02,2,1
LD-Cool-P,2022-11-08,2,1
ldcoolp-figshare,2022-11-01,1,1
ldcoolp-figshare,2022-11-02,1,1
ldcoolp-figshare,2022-11-08,2,1
ldcoolp-figshare,2022-11-09,3,3
ReBACH,2022-11-01,1,1
ReBACH,2022-11-03,1,1
ReBACH,2022-11-07,1,1
ReBACH,2022-11-08,5,2
ReBACH,2022-11-09,3,3
ReBACH,2022-11-10,5,4
redata-commons,2022-11-01,1,1
redata-commons,2022-11-04,1,1
redata-commons,2022-11-08,2,1
redata-docs,2022-11-08,2,1
redata-docs,2022-11-11,2,1
redata-iac,2022-11-02,1,1
redata-iac,2022-11-08,3,2
redata-iac,2022-11-09,4,2
redata-landing-page,2022-11-04,2,2
ReQUIAM,2022-10-29,1,1
ReQUIAM,2022-10-30,1,1
ReQUIAM,2022-11-04,1,1
ReQUIAM,2022-11-08,2,1
ReQUIAM_csv,2022-11-02,1,1
ReQUIAM_csv,2022-11-05,1,1
ReQUIAM_csv,2022-11-08,2,1
ReQUIAM_csv,2022-11-10,2,1
slacking,2022-11-06,1,1
uptime,2022-10-29,73,3
uptime,2022-10-30,97,8
uptime,2022-10-31,75,5
uptime,2022-11-01,72,5
uptime,2022-11-02,79,6
uptime,2022-11-03,91,6
uptime,2022-11-04,92,6
uptime,2022-11-05,105,7
uptime,2022-11-06,100,5
uptime,2022-11-07,87,6
uptime,2022-11-08,83,5
uptime,2022-11-09,88,8
uptime,2022-11-10,88,7
uptime,2022-11-11,90,7
uptime,2022-11-12,16,4
