repository_name,date,clones,unique
LD-Cool-P,2021-05-12,19,4
LD-Cool-P,2021-05-25,30,8
LD-Cool-P,2021-05-27,1,1
LD-Cool-P,2021-06-02,30,8
LD-Cool-P,2021-06-03,27,7
LD-Cool-P,2021-06-06,1,1
LD-Cool-P,2021-06-07,20,6
LD-Cool-P,2021-06-09,18,6
LD-Cool-P,2021-06-10,33,11
LD-Cool-P,2021-06-11,1,1
LD-Cool-P,2021-06-16,3,1
LD-Cool-P,2021-06-22,44,8
LD-Cool-P,2021-06-23,28,7
LD-Cool-P,2021-06-24,44,11
LD-Cool-P,2021-06-28,31,10
LD-Cool-P,2021-06-29,39,11
LD-Cool-P,2021-06-30,7,2
LD-Cool-P,2021-07-01,20,9
LD-Cool-P,2021-07-02,8,3
LD-Cool-P,2021-07-03,1,1
LD-Cool-P,2021-07-06,23,9
LD-Cool-P,2021-07-07,42,11
LD-Cool-P,2021-07-08,30,6
LD-Cool-P,2021-07-09,28,8
LD-Cool-P,2021-07-12,1,1
LD-Cool-P,2021-07-15,21,4
LD-Cool-P,2021-07-19,31,10
LD-Cool-P,2021-07-22,28,3
LD-Cool-P,2021-07-24,1,1
LD-Cool-P,2021-07-26,6,1
LD-Cool-P,2021-08-06,1,1
LD-Cool-P,2021-08-09,2,1
LD-Cool-P,2021-08-24,1,1
LD-Cool-P,2021-08-25,1,1
LD-Cool-P,2021-08-27,1,1
LD-Cool-P,2021-09-05,1,1
LD-Cool-P,2021-09-07,1,1
LD-Cool-P,2021-09-09,1,1
LD-Cool-P,2021-09-15,1,1
LD-Cool-P,2021-09-17,1,1
LD-Cool-P,2021-09-18,1,1
LD-Cool-P,2021-09-20,1,1
LD-Cool-P,2021-09-23,1,1
LD-Cool-P,2021-09-26,1,1
LD-Cool-P,2021-09-27,1,1
LD-Cool-P,2021-09-28,1,1
LD-Cool-P,2021-10-10,1,1
LD-Cool-P,2021-10-11,1,1
LD-Cool-P,2021-10-15,1,1
LD-Cool-P,2021-10-20,3,1
LD-Cool-P,2021-10-21,11,2
LD-Cool-P,2021-10-22,3,1
LD-Cool-P,2021-10-27,2,1
LD-Cool-P,2021-11-13,1,1
LD-Cool-P,2021-11-21,1,1
LD-Cool-P,2021-11-24,1,1
LD-Cool-P,2021-11-26,1,1
LD-Cool-P,2021-11-28,1,1
LD-Cool-P,2021-12-09,2,2
LD-Cool-P,2021-12-13,1,1
LD-Cool-P,2021-12-21,1,1
LD-Cool-P,2022-01-15,2,1
LD-Cool-P,2022-01-16,2,1
LD-Cool-P,2022-01-18,2,1
LD-Cool-P,2022-01-20,2,1
LD-Cool-P,2022-01-25,2,1
LD-Cool-P,2022-01-26,1,1
LD-Cool-P,2022-01-29,1,1
LD-Cool-P,2022-02-15,2,2
LD-Cool-P,2022-03-03,1,1
LD-Cool-P,2022-03-04,1,1
LD-Cool-P,2022-03-07,2,1
LD-Cool-P,2022-03-14,2,1
LD-Cool-P,2022-03-16,2,1
LD-Cool-P,2022-03-25,2,1
LD-Cool-P,2022-03-31,79,13
LD-Cool-P,2022-04-04,1,1
LD-Cool-P,2022-04-21,1,1
LD-Cool-P,2022-04-22,4,2
LD-Cool-P,2022-04-24,2,1
LD-Cool-P,2022-04-29,14,2
LD-Cool-P,2022-05-01,2,1
LD-Cool-P,2022-05-05,2,1
LD-Cool-P,2022-05-06,13,4
LD-Cool-P,2022-05-09,3,3
LD-Cool-P,2022-05-11,2,1
LD-Cool-P,2022-05-16,1,1
LD-Cool-P,2022-06-03,1,1
LD-Cool-P,2022-06-06,1,1
LD-Cool-P,2022-06-15,2,1
LD-Cool-P,2022-06-22,1,1
LD-Cool-P,2022-06-26,1,1
LD-Cool-P,2022-06-30,1,1
LD-Cool-P,2022-07-07,2,1
LD-Cool-P,2022-07-09,1,1
LD-Cool-P,2022-07-12,1,1
LD-Cool-P,2022-07-15,1,1
LD-Cool-P,2022-07-20,2,1
LD-Cool-P,2022-07-23,1,1
LD-Cool-P,2022-07-29,2,1
LD-Cool-P,2022-08-02,1,1
LD-Cool-P,2022-08-04,1,1
LD-Cool-P,2022-08-05,1,1
LD-Cool-P,2022-08-09,1,1
LD-Cool-P,2022-08-12,2,1
LD-Cool-P,2022-08-13,2,1
LD-Cool-P,2022-08-22,1,1
LD-Cool-P,2022-08-23,1,1
LD-Cool-P,2022-08-26,2,1
LD-Cool-P,2022-09-06,1,1
LD-Cool-P,2022-09-07,1,1
LD-Cool-P,2022-09-17,2,1
LD-Cool-P,2022-09-19,1,1
LD-Cool-P,2022-10-21,1,1
LD-Cool-P,2022-10-22,1,1
LD-Cool-P,2022-10-25,2,1
LD-Cool-P,2022-11-02,2,1
LD-Cool-P,2022-11-08,2,1
LD-Cool-P,2022-11-12,2,2
LD-Cool-P,2022-11-17,1,1
ReBACH,2021-03-15,1,1
ReBACH,2021-03-17,1,1
ReBACH,2021-03-20,1,1
ReBACH,2021-06-28,3,3
ReBACH,2021-07-01,4,4
ReBACH,2021-07-03,1,1
ReBACH,2021-07-07,1,1
ReBACH,2021-08-21,1,1
ReBACH,2021-09-03,1,1
ReBACH,2021-09-22,1,1
ReBACH,2021-10-21,5,1
ReBACH,2021-10-28,2,1
ReBACH,2021-11-24,1,1
ReBACH,2021-11-26,1,1
ReBACH,2022-01-17,2,1
ReBACH,2022-01-25,2,1
ReBACH,2022-02-12,1,1
ReBACH,2022-03-22,14,8
ReBACH,2022-03-25,10,5
ReBACH,2022-03-26,1,1
ReBACH,2022-03-29,7,4
ReBACH,2022-03-30,6,3
ReBACH,2022-04-03,2,1
ReBACH,2022-04-04,1,1
ReBACH,2022-04-13,4,3
ReBACH,2022-04-20,1,1
ReBACH,2022-04-27,2,1
ReBACH,2022-05-02,1,1
ReBACH,2022-05-04,2,1
ReBACH,2022-06-14,1,1
ReBACH,2022-06-15,2,1
ReBACH,2022-06-26,1,1
ReBACH,2022-07-07,2,1
ReBACH,2022-07-08,2,2
ReBACH,2022-07-12,1,1
ReBACH,2022-07-19,2,1
ReBACH,2022-07-20,2,1
ReBACH,2022-07-21,4,3
ReBACH,2022-07-22,1,1
ReBACH,2022-07-30,1,1
ReBACH,2022-07-31,1,1
ReBACH,2022-08-01,1,1
ReBACH,2022-08-03,1,1
ReBACH,2022-08-08,2,2
ReBACH,2022-08-12,2,1
ReBACH,2022-08-13,2,1
ReBACH,2022-08-17,1,1
ReBACH,2022-08-25,2,2
ReBACH,2022-08-30,2,2
ReBACH,2022-08-31,2,2
ReBACH,2022-09-02,4,2
ReBACH,2022-09-12,3,1
ReBACH,2022-09-13,1,1
ReBACH,2022-09-16,1,1
ReBACH,2022-09-17,2,1
ReBACH,2022-09-19,1,1
ReBACH,2022-09-21,2,2
ReBACH,2022-09-29,1,1
ReBACH,2022-10-04,4,2
ReBACH,2022-10-05,1,1
ReBACH,2022-10-07,1,1
ReBACH,2022-10-11,11,4
ReBACH,2022-10-14,1,1
ReBACH,2022-10-18,1,1
ReBACH,2022-10-20,2,1
ReBACH,2022-10-21,1,1
ReBACH,2022-10-22,1,1
ReBACH,2022-10-25,1,1
ReBACH,2022-10-26,2,1
ReBACH,2022-11-01,1,1
ReBACH,2022-11-03,1,1
ReBACH,2022-11-07,1,1
ReBACH,2022-11-08,5,2
ReBACH,2022-11-09,3,3
ReBACH,2022-11-10,5,4
ReBACH,2022-11-14,1,1
ReBACH,2022-11-18,1,1
ReM,2021-03-01,1,1
ReM,2021-03-04,7,2
ReM,2021-03-08,7,2
ReM,2021-03-09,17,3
ReM,2021-03-10,11,3
ReM,2021-03-15,15,5
ReM,2021-03-16,17,2
ReM,2021-03-17,6,4
ReM,2021-03-22,7,2
ReM,2021-03-24,6,4
ReM,2021-03-25,4,2
ReM,2021-03-26,9,1
ReM,2021-03-30,14,4
ReM,2021-04-01,7,2
ReM,2021-04-05,1,1
ReM,2021-04-18,1,1
ReM,2021-04-19,12,1
ReM,2021-04-20,1,1
ReM,2021-04-21,1,1
ReM,2021-04-28,24,4
ReM,2021-04-29,14,3
ReM,2021-04-30,17,7
ReM,2021-05-01,1,1
ReM,2021-05-06,25,2
ReM,2021-05-08,2,2
ReM,2021-05-09,1,1
ReM,2021-05-10,13,2
ReM,2021-05-11,20,3
