repository_name,date,path,title,views,unique
LD-Cool-P,2021-05-26,,UAL-RE/LD-Cool-P: Python tool to enable data curation,8,2
LD-Cool-P,2021-05-26,issues,Issues · UAL-RE/LD-Cool-P,18,1
LD-Cool-P,2021-05-26,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-05-26,issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-RE/LD-Cool-P,4,1
LD-Cool-P,2021-05-26,pulls,Pull requests · UAL-RE/LD-Cool-P,9,1
LD-Cool-P,2021-05-27,,UAL-RE/LD-Cool-P: Python tool to enable data curation,8,2
LD-Cool-P,2021-05-27,issues,Issues · UAL-RE/LD-Cool-P,18,1
LD-Cool-P,2021-05-27,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-05-27,issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-RE/LD-Cool-P,4,1
LD-Cool-P,2021-05-27,pulls,Pull requests · UAL-RE/LD-Cool-P,9,1
LD-Cool-P,2021-05-28,,UAL-RE/LD-Cool-P: Python tool to enable data curation,11,3
LD-Cool-P,2021-05-28,issues,Issues · UAL-RE/LD-Cool-P,18,1
LD-Cool-P,2021-05-28,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-05-28,issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-RE/LD-Cool-P,4,1
LD-Cool-P,2021-05-28,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,3,2
LD-Cool-P,2021-05-28,pulls,Pull requests · UAL-RE/LD-Cool-P,9,1
LD-Cool-P,2021-05-29,,UAL-RE/LD-Cool-P: Python tool to enable data curation,14,5
LD-Cool-P,2021-05-29,issues,Issues · UAL-RE/LD-Cool-P,18,1
LD-Cool-P,2021-05-29,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-05-29,issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-RE/LD-Cool-P,4,1
LD-Cool-P,2021-05-29,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-05-29,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P,4,3
LD-Cool-P,2021-05-29,pulls,Pull requests · UAL-RE/LD-Cool-P,16,1
LD-Cool-P,2021-05-30,,UAL-RE/LD-Cool-P: Python tool to enable data curation,16,5
LD-Cool-P,2021-05-30,issues,Issues · UAL-RE/LD-Cool-P,18,1
LD-Cool-P,2021-05-30,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-05-30,issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-RE/LD-Cool-P,4,1
LD-Cool-P,2021-05-30,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-05-30,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P,4,3
LD-Cool-P,2021-05-30,pulls,Pull requests · UAL-RE/LD-Cool-P,16,1
LD-Cool-P,2021-05-31,,UAL-RE/LD-Cool-P: Python tool to enable data curation,16,5
LD-Cool-P,2021-05-31,issues,Issues · UAL-RE/LD-Cool-P,18,1
LD-Cool-P,2021-05-31,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-05-31,issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-RE/LD-Cool-P,4,1
LD-Cool-P,2021-05-31,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-05-31,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P,4,3
LD-Cool-P,2021-05-31,pulls,Pull requests · UAL-RE/LD-Cool-P,16,1
LD-Cool-P,2021-06-01,,UAL-RE/LD-Cool-P: Python tool to enable data curation,16,5
LD-Cool-P,2021-06-01,issues,Issues · UAL-RE/LD-Cool-P,18,1
LD-Cool-P,2021-06-01,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-06-01,issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-RE/LD-Cool-P,4,1
LD-Cool-P,2021-06-01,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-06-01,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P · GitHub,5,4
LD-Cool-P,2021-06-01,pulls,Pull requests · UAL-RE/LD-Cool-P,16,1
LD-Cool-P,2021-06-02,,UAL-RE/LD-Cool-P: Python tool to enable data curation,16,5
LD-Cool-P,2021-06-02,issues,Issues · UAL-RE/LD-Cool-P,18,1
LD-Cool-P,2021-06-02,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-06-02,issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-RE/LD-Cool-P,4,1
LD-Cool-P,2021-06-02,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-06-02,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P · GitHub,5,4
LD-Cool-P,2021-06-02,pulls,Pull requests · UAL-RE/LD-Cool-P,16,1
LD-Cool-P,2021-06-03,,UAL-RE/LD-Cool-P: Python tool to enable data curation,23,7
LD-Cool-P,2021-06-03,issues,Issues · UAL-RE/LD-Cool-P,19,1
LD-Cool-P,2021-06-03,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-06-03,issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-RE/LD-Cool-P,4,1
LD-Cool-P,2021-06-03,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-06-03,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P · GitHub,5,4
LD-Cool-P,2021-06-03,pulls,Pull requests · UAL-RE/LD-Cool-P,16,1
LD-Cool-P,2021-06-04,,UAL-RE/LD-Cool-P: Python tool to enable data curation,28,8
LD-Cool-P,2021-06-04,issues,Issues · UAL-RE/LD-Cool-P,21,1
LD-Cool-P,2021-06-04,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-06-04,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-06-04,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P · GitHub,5,4
LD-Cool-P,2021-06-04,pull/215,Refactor figshare module with ldcoolp-figshare by astrochun · Pull Request #2...,5,1
LD-Cool-P,2021-06-04,pull/215/files,Refactor figshare module with ldcoolp-figshare by astrochun · Pull Request #2...,6,1
LD-Cool-P,2021-06-04,pulls,Pull requests · UAL-RE/LD-Cool-P,16,1
LD-Cool-P,2021-06-04,tree/master/ldcoolp/curation,LD-Cool-P/ldcoolp/curation at master · UAL-RE/LD-Cool-P,4,2
LD-Cool-P,2021-06-05,,UAL-RE/LD-Cool-P: Python tool to enable data curation,28,8
LD-Cool-P,2021-06-05,issues,Issues · UAL-RE/LD-Cool-P,21,1
LD-Cool-P,2021-06-05,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-06-05,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-06-05,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P · GitHub,5,4
LD-Cool-P,2021-06-05,pull/215,Refactor figshare module with ldcoolp-figshare by astrochun · Pull Request #2...,5,1
LD-Cool-P,2021-06-05,pull/215/files,Refactor figshare module with ldcoolp-figshare by astrochun · Pull Request #2...,6,1
LD-Cool-P,2021-06-05,pulls,Pull requests · UAL-RE/LD-Cool-P,16,1
LD-Cool-P,2021-06-05,tree/master/ldcoolp/curation,LD-Cool-P/ldcoolp/curation at master · UAL-RE/LD-Cool-P,4,2
LD-Cool-P,2021-06-06,,UAL-RE/LD-Cool-P: Python tool to enable data curation,29,8
LD-Cool-P,2021-06-06,issues,Issues · UAL-RE/LD-Cool-P,21,1
LD-Cool-P,2021-06-06,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-06-06,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-06-06,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P · GitHub,5,4
LD-Cool-P,2021-06-06,pull/215,Refactor figshare module with ldcoolp-figshare by astrochun · Pull Request #2...,5,1
LD-Cool-P,2021-06-06,pull/215/files,Refactor figshare module with ldcoolp-figshare by astrochun · Pull Request #2...,6,1
LD-Cool-P,2021-06-06,pulls,Pull requests · UAL-RE/LD-Cool-P,16,1
LD-Cool-P,2021-06-06,tree/master/ldcoolp/curation,LD-Cool-P/ldcoolp/curation at master · UAL-RE/LD-Cool-P,4,2
LD-Cool-P,2021-06-07,,UAL-RE/LD-Cool-P: Python tool to enable data curation,29,8
LD-Cool-P,2021-06-07,issues,Issues · UAL-RE/LD-Cool-P,21,1
LD-Cool-P,2021-06-07,issues/175,Enhancement: Migrate repository to UAL-RE · Issue #175 · UAL-RE/LD-Cool-P,5,1
LD-Cool-P,2021-06-07,issues/213,Curation API author metadata content changes after publication · Issue #213 ·...,4,2
LD-Cool-P,2021-06-07,pull/190,release/v1.0.0 by astrochun · Pull Request #190 · UAL-RE/LD-Cool-P · GitHub,5,4
