repository_name,date,site,views,unique
LD-Cool-P,2021-05-26,Google,3,3
LD-Cool-P,2021-05-26,github.com,11,3
LD-Cool-P,2021-05-27,Google,3,3
LD-Cool-P,2021-05-27,github.com,11,3
LD-Cool-P,2021-05-28,Google,4,3
LD-Cool-P,2021-05-28,github.com,13,4
LD-Cool-P,2021-05-29,Google,5,4
LD-Cool-P,2021-05-29,github.com,13,4
LD-Cool-P,2021-05-30,Google,4,3
LD-Cool-P,2021-05-30,github.com,13,4
LD-Cool-P,2021-05-31,Google,4,3
LD-Cool-P,2021-05-31,github.com,13,3
LD-Cool-P,2021-06-01,Google,4,3
LD-Cool-P,2021-06-01,github.com,13,3
LD-Cool-P,2021-06-02,Google,3,2
LD-Cool-P,2021-06-02,github.com,13,3
LD-Cool-P,2021-06-03,Google,4,3
LD-Cool-P,2021-06-03,github.com,15,4
LD-Cool-P,2021-06-04,Google,5,4
LD-Cool-P,2021-06-04,github.com,14,3
LD-Cool-P,2021-06-05,Google,5,4
LD-Cool-P,2021-06-05,github.com,14,3
LD-Cool-P,2021-06-06,Google,5,4
LD-Cool-P,2021-06-06,github.com,14,3
LD-Cool-P,2021-06-07,Google,5,4
LD-Cool-P,2021-06-07,github.com,14,3
LD-Cool-P,2021-06-08,Google,5,4
LD-Cool-P,2021-06-08,github.com,6,3
LD-Cool-P,2021-06-09,Google,5,4
LD-Cool-P,2021-06-09,github.com,8,4
LD-Cool-P,2021-06-10,Google,4,3
LD-Cool-P,2021-06-10,github.com,6,3
LD-Cool-P,2021-06-11,Google,3,2
LD-Cool-P,2021-06-11,github.com,6,3
LD-Cool-P,2021-06-12,Google,3,2
LD-Cool-P,2021-06-12,github.com,6,3
LD-Cool-P,2021-06-13,Google,3,2
LD-Cool-P,2021-06-13,github.com,5,3
LD-Cool-P,2021-06-22,Google,4,3
LD-Cool-P,2021-06-23,Google,5,4
LD-Cool-P,2021-06-23,github.com,2,1
LD-Cool-P,2021-06-24,Google,7,6
LD-Cool-P,2021-06-24,github.com,6,2
LD-Cool-P,2021-06-24,knowledge.figshare.com,1,1
LD-Cool-P,2021-06-25,Google,7,6
LD-Cool-P,2021-06-25,github.com,7,2
LD-Cool-P,2021-06-25,knowledge.figshare.com,1,1
LD-Cool-P,2021-06-26,Google,7,6
LD-Cool-P,2021-06-26,github.com,7,2
LD-Cool-P,2021-06-26,knowledge.figshare.com,1,1
LD-Cool-P,2021-06-27,Google,7,6
LD-Cool-P,2021-06-27,github.com,7,2
LD-Cool-P,2021-06-27,knowledge.figshare.com,1,1
LD-Cool-P,2021-06-28,Google,7,6
LD-Cool-P,2021-06-28,github.com,7,2
LD-Cool-P,2021-06-28,knowledge.figshare.com,1,1
LD-Cool-P,2021-06-29,Google,7,6
LD-Cool-P,2021-06-29,github.com,7,2
LD-Cool-P,2021-06-29,knowledge.figshare.com,1,1
LD-Cool-P,2021-06-30,Google,6,5
LD-Cool-P,2021-06-30,github.com,8,2
LD-Cool-P,2021-06-30,knowledge.figshare.com,1,1
LD-Cool-P,2021-07-05,Google,2,2
LD-Cool-P,2021-07-05,github.com,7,2
LD-Cool-P,2021-07-05,knowledge.figshare.com,1,1
LD-Cool-P,2021-07-06,Google,2,2
LD-Cool-P,2021-07-06,github.com,7,2
LD-Cool-P,2021-07-06,knowledge.figshare.com,1,1
LD-Cool-P,2021-07-07,github.com,6,1
LD-Cool-P,2021-07-08,Google,2,2
LD-Cool-P,2021-07-08,github.com,6,1
LD-Cool-P,2021-07-09,Google,2,2
LD-Cool-P,2021-07-09,github.com,6,1
LD-Cool-P,2021-07-10,Google,2,2
LD-Cool-P,2021-07-10,github.com,7,1
LD-Cool-P,2021-07-11,Google,2,2
LD-Cool-P,2021-07-11,github.com,8,1
LD-Cool-P,2021-07-12,Google,2,2
LD-Cool-P,2021-07-12,github.com,8,1
LD-Cool-P,2021-07-13,Google,2,2
LD-Cool-P,2021-07-13,github.com,9,1
LD-Cool-P,2021-07-13,redata.readthedocs.io,1,1
LD-Cool-P,2021-07-14,Google,3,3
LD-Cool-P,2021-07-14,github.com,9,1
LD-Cool-P,2021-07-14,redata.readthedocs.io,2,1
LD-Cool-P,2021-07-15,Google,3,3
LD-Cool-P,2021-07-15,github.com,10,1
LD-Cool-P,2021-07-15,redata.readthedocs.io,2,1
LD-Cool-P,2021-07-16,Google,3,3
LD-Cool-P,2021-07-16,github.com,10,1
LD-Cool-P,2021-07-16,redata.readthedocs.io,3,2
LD-Cool-P,2021-07-17,Google,3,3
LD-Cool-P,2021-07-17,github.com,10,1
LD-Cool-P,2021-07-17,redata.readthedocs.io,3,2
LD-Cool-P,2021-07-18,Google,3,3
LD-Cool-P,2021-07-18,github.com,10,1
LD-Cool-P,2021-07-18,redata.readthedocs.io,3,2
LD-Cool-P,2021-07-19,Google,3,3
LD-Cool-P,2021-07-19,github.com,10,1
LD-Cool-P,2021-07-19,redata.readthedocs.io,3,2
LD-Cool-P,2021-07-20,Google,3,3
LD-Cool-P,2021-07-20,github.com,9,2
LD-Cool-P,2021-07-20,redata.readthedocs.io,3,2
LD-Cool-P,2021-07-21,Google,1,1
LD-Cool-P,2021-07-21,github.com,8,2
LD-Cool-P,2021-07-21,redata.readthedocs.io,4,2
LD-Cool-P,2021-07-22,Google,1,1
LD-Cool-P,2021-07-22,github.com,8,2
LD-Cool-P,2021-07-22,redata.readthedocs.io,5,2
LD-Cool-P,2021-07-23,Google,1,1
LD-Cool-P,2021-07-23,github.com,8,3
LD-Cool-P,2021-07-23,redata.readthedocs.io,5,2
LD-Cool-P,2021-07-24,Google,1,1
LD-Cool-P,2021-07-24,github.com,8,3
LD-Cool-P,2021-07-24,redata.readthedocs.io,5,2
LD-Cool-P,2021-07-25,Google,1,1
LD-Cool-P,2021-07-25,github.com,11,3
LD-Cool-P,2021-07-25,redata.readthedocs.io,5,2
LD-Cool-P,2021-07-26,Google,1,1
LD-Cool-P,2021-07-26,github.com,9,3
LD-Cool-P,2021-07-26,redata.readthedocs.io,4,2
LD-Cool-P,2021-07-27,github.com,10,3
LD-Cool-P,2021-07-27,redata.readthedocs.io,3,2
LD-Cool-P,2021-07-28,github.com,10,3
LD-Cool-P,2021-07-28,redata.readthedocs.io,5,3
LD-Cool-P,2021-07-29,github.com,11,3
LD-Cool-P,2021-07-29,redata.readthedocs.io,4,2
LD-Cool-P,2021-07-30,github.com,11,3
LD-Cool-P,2021-07-30,redata.readthedocs.io,4,2
LD-Cool-P,2021-07-31,github.com,11,3
LD-Cool-P,2021-07-31,redata.readthedocs.io,4,2
LD-Cool-P,2021-08-01,github.com,11,3
LD-Cool-P,2021-08-01,redata.readthedocs.io,4,2
LD-Cool-P,2021-08-02,github.com,9,2
LD-Cool-P,2021-08-02,redata.readthedocs.io,4,2
LD-Cool-P,2021-08-03,github.com,9,2
LD-Cool-P,2021-08-03,redata.readthedocs.io,3,2
LD-Cool-P,2021-08-04,github.com,9,2
LD-Cool-P,2021-08-04,redata.readthedocs.io,2,2
LD-Cool-P,2021-08-05,github.com,8,1
LD-Cool-P,2021-08-05,redata.readthedocs.io,2,2
LD-Cool-P,2021-08-06,Google,1,1
LD-Cool-P,2021-08-06,github.com,7,1
LD-Cool-P,2021-08-06,redata.readthedocs.io,2,2
LD-Cool-P,2021-08-07,Google,1,1
LD-Cool-P,2021-08-07,github.com,4,1
LD-Cool-P,2021-08-07,redata.readthedocs.io,2,2
LD-Cool-P,2021-08-08,Google,1,1
LD-Cool-P,2021-08-08,github.com,4,1
LD-Cool-P,2021-08-08,redata.readthedocs.io,2,2
LD-Cool-P,2021-08-09,Google,7,2
LD-Cool-P,2021-08-09,github.com,3,1
LD-Cool-P,2021-08-09,redata.readthedocs.io,2,2
LD-Cool-P,2021-08-10,Google,7,2
LD-Cool-P,2021-08-10,github.com,1,1
LD-Cool-P,2021-08-11,Google,8,3
LD-Cool-P,2021-08-11,github.com,3,1
LD-Cool-P,2021-08-12,Google,8,3
LD-Cool-P,2021-08-12,github.com,3,1
LD-Cool-P,2021-08-13,Google,8,3
LD-Cool-P,2021-08-13,github.com,3,1
LD-Cool-P,2021-08-14,Google,8,3
LD-Cool-P,2021-08-14,github.com,3,1
LD-Cool-P,2021-08-15,Google,8,3
LD-Cool-P,2021-08-15,github.com,3,1
LD-Cool-P,2021-08-16,Google,8,3
LD-Cool-P,2021-08-16,github.com,3,1
LD-Cool-P,2021-08-17,Google,8,3
LD-Cool-P,2021-08-17,github.com,3,1
LD-Cool-P,2021-08-18,Google,8,3
LD-Cool-P,2021-08-18,github.com,3,1
LD-Cool-P,2021-08-19,Google,7,2
LD-Cool-P,2021-08-19,github.com,3,1
LD-Cool-P,2021-08-20,Google,7,2
LD-Cool-P,2021-08-20,github.com,4,2
LD-Cool-P,2021-08-21,Google,7,2
LD-Cool-P,2021-08-21,github.com,4,2
LD-Cool-P,2021-08-22,Google,1,1
LD-Cool-P,2021-08-22,github.com,4,2
LD-Cool-P,2021-08-23,Google,1,1
LD-Cool-P,2021-08-23,github.com,4,2
LD-Cool-P,2021-08-24,github.com,1,1
LD-Cool-P,2021-08-25,github.com,1,1
LD-Cool-P,2021-08-26,github.com,2,2
LD-Cool-P,2021-08-27,github.com,2,2
LD-Cool-P,2021-08-28,github.com,2,2
LD-Cool-P,2021-08-29,github.com,2,2
LD-Cool-P,2021-08-30,github.com,4,3
LD-Cool-P,2021-08-31,github.com,4,3
LD-Cool-P,2021-09-01,github.com,5,3
LD-Cool-P,2021-09-02,github.com,4,2
LD-Cool-P,2021-09-03,github.com,4,2
LD-Cool-P,2021-09-04,github.com,4,2
LD-Cool-P,2021-09-05,github.com,4,2
LD-Cool-P,2021-09-06,Google,3,1
LD-Cool-P,2021-09-06,github.com,4,2
LD-Cool-P,2021-09-07,DuckDuckGo,1,1
LD-Cool-P,2021-09-07,Google,3,1
LD-Cool-P,2021-09-07,github.com,4,2
LD-Cool-P,2021-09-08,DuckDuckGo,1,1
LD-Cool-P,2021-09-08,Google,3,1
LD-Cool-P,2021-09-08,github.com,6,3
LD-Cool-P,2021-09-09,DuckDuckGo,1,1
LD-Cool-P,2021-09-09,Google,4,1
