repository_name,date,views,unique
LD-Cool-P,2021-05-12,19,3
LD-Cool-P,2021-05-13,2,1
LD-Cool-P,2021-05-14,41,1
LD-Cool-P,2021-05-16,1,1
LD-Cool-P,2021-05-17,3,2
LD-Cool-P,2021-05-18,9,1
LD-Cool-P,2021-05-19,1,1
LD-Cool-P,2021-05-21,5,2
LD-Cool-P,2021-05-22,5,1
LD-Cool-P,2021-05-25,90,3
LD-Cool-P,2021-05-27,10,3
LD-Cool-P,2021-05-28,9,3
LD-Cool-P,2021-05-29,6,1
LD-Cool-P,2021-05-30,1,1
LD-Cool-P,2021-05-31,2,1
LD-Cool-P,2021-06-02,18,3
LD-Cool-P,2021-06-03,43,2
LD-Cool-P,2021-06-05,3,1
LD-Cool-P,2021-06-07,9,2
LD-Cool-P,2021-06-08,6,2
LD-Cool-P,2021-06-09,183,1
LD-Cool-P,2021-06-10,101,1
LD-Cool-P,2021-06-16,3,2
LD-Cool-P,2021-06-18,9,1
LD-Cool-P,2021-06-21,11,2
LD-Cool-P,2021-06-22,235,3
LD-Cool-P,2021-06-23,60,4
LD-Cool-P,2021-06-24,44,2
LD-Cool-P,2021-06-25,5,1
LD-Cool-P,2021-06-28,49,1
LD-Cool-P,2021-06-29,63,1
LD-Cool-P,2021-06-30,8,1
LD-Cool-P,2021-07-01,48,1
LD-Cool-P,2021-07-02,25,1
LD-Cool-P,2021-07-06,93,1
LD-Cool-P,2021-07-07,41,3
LD-Cool-P,2021-07-08,16,1
LD-Cool-P,2021-07-09,7,1
LD-Cool-P,2021-07-10,6,1
LD-Cool-P,2021-07-12,44,1
LD-Cool-P,2021-07-13,27,1
LD-Cool-P,2021-07-14,38,1
LD-Cool-P,2021-07-15,7,2
LD-Cool-P,2021-07-16,5,1
LD-Cool-P,2021-07-19,29,2
LD-Cool-P,2021-07-20,6,2
LD-Cool-P,2021-07-21,5,1
LD-Cool-P,2021-07-22,41,2
LD-Cool-P,2021-07-23,8,2
LD-Cool-P,2021-07-24,7,1
LD-Cool-P,2021-07-26,52,2
LD-Cool-P,2021-07-27,12,2
LD-Cool-P,2021-07-28,1,1
LD-Cool-P,2021-07-31,2,1
LD-Cool-P,2021-08-04,1,1
LD-Cool-P,2021-08-05,1,1
LD-Cool-P,2021-08-06,18,1
LD-Cool-P,2021-08-08,28,1
LD-Cool-P,2021-08-09,1,1
LD-Cool-P,2021-08-10,8,4
LD-Cool-P,2021-08-11,1,1
LD-Cool-P,2021-08-15,1,1
LD-Cool-P,2021-08-19,1,1
LD-Cool-P,2021-08-20,1,1
LD-Cool-P,2021-08-21,1,1
LD-Cool-P,2021-08-25,1,1
LD-Cool-P,2021-08-26,1,1
LD-Cool-P,2021-08-28,1,1
LD-Cool-P,2021-08-29,2,1
LD-Cool-P,2021-08-30,1,1
LD-Cool-P,2021-08-31,3,1
LD-Cool-P,2021-09-01,1,1
LD-Cool-P,2021-09-02,2,1
LD-Cool-P,2021-09-05,48,1
LD-Cool-P,2021-09-06,1,1
LD-Cool-P,2021-09-07,4,2
LD-Cool-P,2021-09-08,2,1
LD-Cool-P,2021-09-09,54,4
LD-Cool-P,2021-09-10,13,3
LD-Cool-P,2021-09-11,1,1
LD-Cool-P,2021-09-12,8,1
LD-Cool-P,2021-09-13,4,1
LD-Cool-P,2021-09-14,23,3
LD-Cool-P,2021-09-15,3,2
LD-Cool-P,2021-09-17,3,3
LD-Cool-P,2021-09-20,8,4
LD-Cool-P,2021-09-21,1,1
LD-Cool-P,2021-09-23,1,1
LD-Cool-P,2021-09-24,1,1
LD-Cool-P,2021-09-25,1,1
LD-Cool-P,2021-09-27,5,2
LD-Cool-P,2021-09-28,2,2
LD-Cool-P,2021-09-29,8,1
LD-Cool-P,2021-10-04,2,1
LD-Cool-P,2021-10-05,1,1
LD-Cool-P,2021-10-06,1,1
LD-Cool-P,2021-10-07,1,1
LD-Cool-P,2021-10-11,2,2
LD-Cool-P,2021-10-12,5,1
LD-Cool-P,2021-10-13,6,2
LD-Cool-P,2021-10-14,1,1
LD-Cool-P,2021-10-16,7,1
LD-Cool-P,2021-10-20,121,1
LD-Cool-P,2021-10-21,8,2
LD-Cool-P,2021-10-23,4,1
LD-Cool-P,2021-10-24,6,1
LD-Cool-P,2021-10-25,53,2
LD-Cool-P,2021-10-27,1,1
LD-Cool-P,2021-11-03,1,1
LD-Cool-P,2021-11-08,3,1
LD-Cool-P,2021-11-14,1,1
LD-Cool-P,2021-11-15,75,3
LD-Cool-P,2021-11-16,4,1
LD-Cool-P,2021-11-18,2,2
LD-Cool-P,2021-11-29,1,1
LD-Cool-P,2021-12-03,1,1
LD-Cool-P,2021-12-07,7,5
LD-Cool-P,2021-12-08,1,1
LD-Cool-P,2021-12-10,3,1
LD-Cool-P,2021-12-13,4,1
LD-Cool-P,2021-12-19,1,1
